Artista,Género musical,Tipo,Nombre,Año de lanzamiento,ID_Spotify,ID_Album,Nombre_Album,Año_Lanzamiento_Album,Artista_Principal_Album,Biografia_Resumen,Playcount_LastFM,Listeners_LastFM
Dj Joe,Reggaeton (Origen: reggaeton),Canción,Orgasmo,2000,0E2PAktDgSw1qXEzOwHLMz,5KjlY2iLyL9qaexUbxTGeo,Fatal Fantassy,2000,Dj Joe," <a href=""https://www.last.fm/music/DJ+Joe"">Read more on Last.fm</a>",187135,25957
Dj Joe,Reggaeton (Origen: reggaeton),Canción,Mai Grita,2000,0YxFcX2Rhfp4mOaLFyTXbV,5KjlY2iLyL9qaexUbxTGeo,Fatal Fantassy,2000,Dj Joe," <a href=""https://www.last.fm/music/DJ+Joe"">Read more on Last.fm</a>",187135,25957
Dj Joe,Reggaeton (Origen: reggaeton),Canción,Que Melones,2000,2XB1118qP1DLyE4deHZrqv,5KjlY2iLyL9qaexUbxTGeo,Fatal Fantassy,2000,Dj Joe," <a href=""https://www.last.fm/music/DJ+Joe"">Read more on Last.fm</a>",187135,25957
Dj Joe,Reggaeton (Origen: reggaeton),Canción,Mujeres,2000,0rLJYPOKXUe2TfngVgH0eB,5KjlY2iLyL9qaexUbxTGeo,Fatal Fantassy,2000,Dj Joe," <a href=""https://www.last.fm/music/DJ+Joe"">Read more on Last.fm</a>",187135,25957
Jairos,Reggaeton (Origen: reggaeton),Canción,Siete,2000,4wTee4RHe9rkK9fNCCHMi5,5VT7SiRbeHW2ELcs0wOoOj,Siete,2000,Jairos," <a href=""https://www.last.fm/music/Jairos"">Read more on Last.fm</a>",204436,52429
El General,Reggaeton (Origen: reggaeton),Canción,Rica y Apretadita (feat. Anayka),2000,2TdaIMnopPFjYqckoyEUAJ,71s0hsH2Qwf99hbiOcT7RR,Serie 2000,2000,El General,"To the world of Latin reggae he is known as El General, the originator of reggaeton. To the people of his hometown Rio Abajo in Panama City he is Edgardo Franco. Franco was born on September 27 to Catherine and Victor Franco. He was one of 10 children growing up in a poverty stricken town inhabited by many Jamaicans. He grew up in a multicultural environment. His mother was part Jamaican and part Trinidadian. His father was part Panamanian and part Colombian. <a href=""https://www.last.fm/music/El+General"">Read more on Last.fm</a>",738714,125675
Vico C,Reggaeton (Origen: reggaeton),Canción,Bomba Para Afincar,2000,0cHircZQcIR3ZkVsuHPgb6,4lv6tavshM2ZuTXJemNb9F,Serie Platino,2000,Vico C,"Vico C (Born Armando Lozada Cruz on September 8, 1971)is a Puerto Rican rapper and singer who is one of the founders of the Reggaeton Genre. He was born in New York but raised in Puerto Rico. Vico C entered the charts with the super hit ""La Recta Final"" (The Way To End, literally: ""The Final Stretch"") and become famous across the Americas. He started touring to places like New York, Chicago, Miami, El Salvador, Venezuela, Dominican Republic. He is known for recently hits like ""Desahogo"" ""5 De Septiembre"" dedicated to his daughter & many more. <a href=""https://www.last.fm/music/Vico+C"">Read more on Last.fm</a>",1175283,137157
Daddy Yankee,Reggaeton (Origen: reggaeton),Canción,Funeral,2000,2EwTZrsCxvSQUAz3iHmuAB,6gxcZ8M7Hpr5addTNfTqha,Playero 38 Special Edition,2000,Various Artists,"Ramón ""Raymond"" Luis Ayala Rodríguez (born February 3, 1977), known artistically as Daddy Yankee, is a Latin Grammy Award winning Puerto Rican reggaeton recording artist. Ayala was born in Río Piedras, the largest district of San Juan, Puerto Rico, where he became interested in music at a young age. In his youth he was interested in baseball, and aspired to become a Major League Baseball player. He was unable to continue this sport when he got shot in the leg by being mistaken for his friend by a unknown man <a href=""https://www.last.fm/music/Daddy+Yankee"">Read more on Last.fm</a>",47614159,2104425
Ruben Sam,Reggaeton (Origen: reggaeton),Canción,Butterfly,2000,4sYMOC75gsnqr1ShbXH9QQ,6gxcZ8M7Hpr5addTNfTqha,Playero 38 Special Edition,2000,Various Artists,"RUBEN SAN ""EL BLAKA""

BIOGRAFIA

 

NACIDO, RUBEN ARROYO, DICIEMBRE 7 1976, EN RIO PIEDRAS P.R.

SU INTERES POR LA MUSICA EMPEZO A UNA TEMPRANA EDAD AL CANTAR A LOS BEATS DE OTROS ARTISTAS. SUS INFLUENCIAS MAS GRANDES FUERON VICO C Y PUBLIC ENEMY ENTRE OTROS. GRABANDO EN VARIOS MIX TAPES DEL MOMENTO.

RUBEN, CURSO ESTUDIOS EN LA ESCUELA JOSE JULIAN ACOSTA , DONDE EN UN TALENT SHOW IMITO LA RECTA FINAL DE VICO C DONDE ,PRODUCTORES COMO DJ PLAYERO SE LE ACERCARON PARA QUE GRABARA EN SUS DISCOS. <a href=""https://www.last.fm/music/Ruben+Sam"">Read more on Last.fm</a>",21518,4069
Rey Pirin,Reggaeton (Origen: reggaeton),Canción,Mi Reggaeton Te Exita,2000,5i90MF0GBzfm0lB8IAn1cn,6Lnr3XlqKrxEBp854TovuI,Da Professional,2000,Rey Pirin," <a href=""https://www.last.fm/music/Rey+Pirin"">Read more on Last.fm</a>",41180,8903
Rey Pirin,Reggaeton (Origen: reggaeton),Canción,Mi Reggaeton Te Exita,2000,7l8nQTt5VzHgVzBUpfJmCa,4OlW4Cp6I07do0EuqGFgjy,Da Professional,2000,Rey Pirin," <a href=""https://www.last.fm/music/Rey+Pirin"">Read more on Last.fm</a>",41180,8903
Daddy Yankee,Reggaeton (Origen: reggaeton),Canción,No Te Canses,2000,4T8ke1voJoX91Rk2khZfId,6gxcZ8M7Hpr5addTNfTqha,Playero 38 Special Edition,2000,Various Artists,"Ramón ""Raymond"" Luis Ayala Rodríguez (born February 3, 1977), known artistically as Daddy Yankee, is a Latin Grammy Award winning Puerto Rican reggaeton recording artist. Ayala was born in Río Piedras, the largest district of San Juan, Puerto Rico, where he became interested in music at a young age. In his youth he was interested in baseball, and aspired to become a Major League Baseball player. He was unable to continue this sport when he got shot in the leg by being mistaken for his friend by a unknown man <a href=""https://www.last.fm/music/Daddy+Yankee"">Read more on Last.fm</a>",47614159,2104425
Vico C,Reggaeton (Origen: reggaeton),Canción,Xplosion,2000,58q5Jz1My29hgf6lh2N2Sj,4lv6tavshM2ZuTXJemNb9F,Serie Platino,2000,Vico C,"Vico C (Born Armando Lozada Cruz on September 8, 1971)is a Puerto Rican rapper and singer who is one of the founders of the Reggaeton Genre. He was born in New York but raised in Puerto Rico. Vico C entered the charts with the super hit ""La Recta Final"" (The Way To End, literally: ""The Final Stretch"") and become famous across the Americas. He started touring to places like New York, Chicago, Miami, El Salvador, Venezuela, Dominican Republic. He is known for recently hits like ""Desahogo"" ""5 De Septiembre"" dedicated to his daughter & many more. <a href=""https://www.last.fm/music/Vico+C"">Read more on Last.fm</a>",1175283,137157
Frankie Boy,Reggaeton (Origen: reggaeton),Canción,Boom Boom Mariguana,2000,4x2FTSsFOjrQzHPBRvlQSD,6gxcZ8M7Hpr5addTNfTqha,Playero 38 Special Edition,2000,Various Artists," <a href=""https://www.last.fm/music/Frankie+Boy"">Read more on Last.fm</a>",43016,9559
Chriss Romel,Reggaeton (Origen: reggaeton),Canción,Hebreos 10:39,2000,148JmKIKLVDJE3ygpZNhQX,0mCvrSwCuKsNXGX4VE7pvr,Mi Salvador,2000,Chriss Romel," <a href=""https://www.last.fm/music/Chriss+Romel"">Read more on Last.fm</a>",319,82
master still,Reggaeton (Origen: reggaeton),Canción,Real Reggaetón,2000,3PgyF6Qm81qrZcK0ZzJuhF,3CcoRFZWWlgUBOTGcRroeS,Real Reggaetón,2000,master still," <a href=""https://www.last.fm/music/master+still"">Read more on Last.fm</a>",4,4
Chriss Romel,Reggaeton (Origen: reggaeton),Canción,La bendicion,2000,7jotQQQ2uRtyo0Y2DOWvsv,0mCvrSwCuKsNXGX4VE7pvr,Mi Salvador,2000,Chriss Romel," <a href=""https://www.last.fm/music/Chriss+Romel"">Read more on Last.fm</a>",319,82
Chriss Romel,Reggaeton (Origen: reggaeton),Canción,Ya no puedo mas,2000,37tuOrUI7eZPaqFY9pTDDO,0mCvrSwCuKsNXGX4VE7pvr,Mi Salvador,2000,Chriss Romel," <a href=""https://www.last.fm/music/Chriss+Romel"">Read more on Last.fm</a>",319,82
Chriss Romel,Reggaeton (Origen: reggaeton),Canción,Mi vida te pertenece,2000,41fX5bf8x4uNh3hXXyjizH,0mCvrSwCuKsNXGX4VE7pvr,Mi Salvador,2000,Chriss Romel," <a href=""https://www.last.fm/music/Chriss+Romel"">Read more on Last.fm</a>",319,82
Chriss Romel,Reggaeton (Origen: reggaeton),Canción,Ellos dicen,2000,2KBgGkFQukTtfzVUJU3s4j,0mCvrSwCuKsNXGX4VE7pvr,Mi Salvador,2000,Chriss Romel," <a href=""https://www.last.fm/music/Chriss+Romel"">Read more on Last.fm</a>",319,82
Blanco Flake,Reggaeton (Origen: reggaeton),Canción,Esta Es La Musica Negra,2000,6uIbzsCsDSj6SKXHHEadwX,6gxcZ8M7Hpr5addTNfTqha,Playero 38 Special Edition,2000,Various Artists," <a href=""https://www.last.fm/music/Blanco+Flake"">Read more on Last.fm</a>",1372,514
Chriss Romel,Reggaeton (Origen: reggaeton),Canción,Mix Dj Rudy,2000,5nMpvg89Nt2tFh4m0SiO3r,0mCvrSwCuKsNXGX4VE7pvr,Mi Salvador,2000,Chriss Romel," <a href=""https://www.last.fm/music/Chriss+Romel"">Read more on Last.fm</a>",319,82
Chriss Romel,Reggaeton (Origen: reggaeton),Canción,Intro,2000,3a788p0Pe7QGuOB6G19xGz,0mCvrSwCuKsNXGX4VE7pvr,Mi Salvador,2000,Chriss Romel," <a href=""https://www.last.fm/music/Chriss+Romel"">Read more on Last.fm</a>",319,82
Chriss Romel,Reggaeton (Origen: reggaeton),Canción,No pueden,2000,6uvC5iVpEW8e621FEnBPSu,0mCvrSwCuKsNXGX4VE7pvr,Mi Salvador,2000,Chriss Romel," <a href=""https://www.last.fm/music/Chriss+Romel"">Read more on Last.fm</a>",319,82
Dj Joe,Reggaeton (Origen: reggaeton),Canción,El Amor Sin Ropa,2000,2Sv5O6J01F7GZzQmp38RcW,5KjlY2iLyL9qaexUbxTGeo,Fatal Fantassy,2000,Dj Joe," <a href=""https://www.last.fm/music/DJ+Joe"">Read more on Last.fm</a>",187135,25957
Jan & Suppose,Reggaeton (Origen: reggaeton),Canción,Mix Up,2000,3neoPtAifqxt3p8xAiLE2J,6imTV8uQrPFicQhsV4THVR,Los Bad Boys del Reggae (Reggaeton),2000,Jam & Suppose," <a href=""https://www.last.fm/music/Jan+&+Suppose"">Read more on Last.fm</a>",104,32
Rey Pirin,Reggaeton (Origen: reggaeton),Canción,Boom Sina Boom,2000,6adKuQrRGOkL14wWeUeNa8,6gxcZ8M7Hpr5addTNfTqha,Playero 38 Special Edition,2000,Various Artists," <a href=""https://www.last.fm/music/Rey+Pirin"">Read more on Last.fm</a>",41180,8903
Frankie Boy,Reggaeton (Origen: reggaeton),Canción,Liza Love,2000,50jN9m1kNFHybn8pFN76wY,6gxcZ8M7Hpr5addTNfTqha,Playero 38 Special Edition,2000,Various Artists," <a href=""https://www.last.fm/music/Frankie+Boy"">Read more on Last.fm</a>",43016,9559
Dj Joe,Reggaeton (Origen: reggaeton),Canción,Vengan al Baile,2000,3RapcxbIaUxGBfSWo89F5T,2VlaovlARvZ0hhvIdzTu9Y,Los Genios Musicales,2000,Dj Joe," <a href=""https://www.last.fm/music/DJ+Joe"">Read more on Last.fm</a>",187135,25957
Playero,Reggaeton (Origen: reggaeton),Canción,Non Stop Reggaeton (Underground Mix),2000,1651Pj2BgNR9Ba0UmvessM,1oKh3b6bha4iWRXdZ7mLk0,Playero 38 Special Edition,2000,Various Artists,"This is an incorrect tag for DJ Playero. If this non-artist appears in your charts, do last.fm and yourself a favor. Fix your artist tags. <a href=""https://www.last.fm/music/Playero"">Read more on Last.fm</a>",38843,8555
Playero,Reggaeton (Origen: reggaeton),Canción,Non Stop Reggaeton - Underground Mix,2000,2JuXXgUw2kOVfpVjEgRZJP,0jzUKqd8jFdnLaHgrhfPNL,Playero 38 Special Edition,2000,Various Artists,"This is an incorrect tag for DJ Playero. If this non-artist appears in your charts, do last.fm and yourself a favor. Fix your artist tags. <a href=""https://www.last.fm/music/Playero"">Read more on Last.fm</a>",38843,8555
=dc*reto=,Reggaeton (Origen: reggaeton),Canción,Saltapararriba,2000,4VGvAugCAcZQK7pqW4T1hX,7r7QhHy9BnsXU1xwj9eWQY,Cual Es Tu Destino? 2000,2000,=dc*reto=," <a href=""https://www.last.fm/music/=dc%2Areto="">Read more on Last.fm</a>",30222,3685
Tony Touch,Reggaeton (Origen: reggaeton),Canción,P.R. All Stars,2000,1Shd2K01gJIaMUjwVifuJN,6rWpEWEtXt9noJXeszL8Xs,The Piece Maker,2000,Tony Touch,"Tony Touch, also known as Tony Toca, is an American hip hop DJ and producer from Brooklyn's Bushwick/ Knickerbocker section who is of Puerto Rican descent. He worked with many groups and rappers as Funkdoobiest, Cocoa Brovaz and Cypress Hill. He is known for his mix tapes. On The Peacemaker 2, Rubén Blades appears, as well as rappers and reggae dee jays such as P. Diddy, Hurricane G, Dead Prez, Slick Rick, Sean Paul, and reggaetón rapper Don Chezina, who also appeared on The Piecemaker. <a href=""https://www.last.fm/music/Tony+Touch"">Read more on Last.fm</a>",481183,75548
=dc*reto=,Reggaeton (Origen: reggaeton),Canción,Me Haces Falta,2000,3mvbmP6PQF3c5bWeVR9u0i,7r7QhHy9BnsXU1xwj9eWQY,Cual Es Tu Destino? 2000,2000,=dc*reto=," <a href=""https://www.last.fm/music/=dc%2Areto="">Read more on Last.fm</a>",30222,3685
K.I.D.,Reggaeton (Origen: reggaeton),Canción,Ya Llego Mi Tiempo,2000,0ceafkxCB93ImUT1IYdRlx,6gxcZ8M7Hpr5addTNfTqha,Playero 38 Special Edition,2000,Various Artists,"K.I.D. (Kids in Despair) are a ""garage pop"" duo from Mississauga, Ontario, Canada, made up of Kara Lane and Chris Rabba aka Bobby Lo. The group formed in 2014 after the disbandment of previous effort, The Boom Boom, which included Lane, Rabba and Alex Biro. Lane and Rabba had previously been a part of the synthpop group KaraMel, with Lane as one of two lead vocalists and Rabba as a songwriter. K.I.D.'s first single, ""I Wish I Was Your Cigarette"" was released in November 2014, followed by their debut self-titled EP in April the following year. <a href=""https://www.last.fm/music/K.I.D."">Read more on Last.fm</a>",39945,10383
=dc*reto=,Reggaeton (Origen: reggaeton),Canción,Creo En Ti,2000,705DLvA1NrVCEiL7SMhZGq,7r7QhHy9BnsXU1xwj9eWQY,Cual Es Tu Destino? 2000,2000,=dc*reto=," <a href=""https://www.last.fm/music/=dc%2Areto="">Read more on Last.fm</a>",30222,3685
Dj Joe,Reggaeton (Origen: reggaeton),Canción,Vamos a Joder,2000,2qRFAqICYaUZYp1PJhpORd,5KjlY2iLyL9qaexUbxTGeo,Fatal Fantassy,2000,Dj Joe," <a href=""https://www.last.fm/music/DJ+Joe"">Read more on Last.fm</a>",187135,25957
=dc*reto=,Reggaeton (Origen: reggaeton),Canción,La Cabra,2000,3qIFOvS8buRC4sZddK80lU,7r7QhHy9BnsXU1xwj9eWQY,Cual Es Tu Destino? 2000,2000,=dc*reto=," <a href=""https://www.last.fm/music/=dc%2Areto="">Read more on Last.fm</a>",30222,3685
Michael y Manuel,Reggaeton (Origen: reggaeton),Canción,Modelale A Tu Ex-Man,2000,3v4TAKQ9rHUyNDWZpozwSL,6gxcZ8M7Hpr5addTNfTqha,Playero 38 Special Edition,2000,Various Artists," <a href=""https://www.last.fm/music/Michael+y+Manuel"">Read more on Last.fm</a>",11757,2843
Wisin & Yandel,Reggaeton (Origen: reggaeton),Canción,Gerla,2000,56dwaOX6axIluPNK5iJdEp,2ImsbgG5mXgtNl36h1PXJv,Los Reyes del Nuevo Milenio,2000,Wisin & Yandel,"Wisin & Yandel is a Puerto Rican reggaeton duo, consisting of Llandel Veguilla Malavé Salazar (Yandel) and Juan Luis Morera Luna (Wisin). They started their career in 1995 and have been together ever since, winning several awards during that time.

Their biggest hits are ""Rakata"", ""Llamé Pa' Verte (Bailando Sexy)"", ""Pam Pam"", ""Sexy Movimiento"", ""Pegao"",""Síguelo"", ""Abusadora"", and ""Gracias a Tí"". Wisin & Yandel have collaborated with internationally known artists such as R. <a href=""https://www.last.fm/music/Wisin+&+Yandel"">Read more on Last.fm</a>",18427010,822265
Dj Joe,Reggaeton (Origen: reggaeton),Canción,Trebol Clan los Matará,2000,0vTLEQyJTis4U0sV2f7dX4,2VlaovlARvZ0hhvIdzTu9Y,Los Genios Musicales,2000,Dj Joe," <a href=""https://www.last.fm/music/DJ+Joe"">Read more on Last.fm</a>",187135,25957
Dj Joe,Reggaeton (Origen: reggaeton),Canción,Mujeres al Baile,2000,1HS6rO3iilc6MGaudK4wnp,5KjlY2iLyL9qaexUbxTGeo,Fatal Fantassy,2000,Dj Joe," <a href=""https://www.last.fm/music/DJ+Joe"">Read more on Last.fm</a>",187135,25957
